Entity,Code,Year,"Mean years of schooling (ISCED 1 or higher), population 25+ years, male"
Afghanistan,AFG,1975,1.17914
Afghanistan,AFG,1979,1.48101
Afghanistan,AFG,2015,3.43609
Afghanistan,AFG,2021,3.40131
Afghanistan,AFG,2022,3.91274
Albania,ALB,2001,9.42406
Albania,ALB,2008,9.83699
Albania,ALB,2011,10.22164
Albania,ALB,2012,10.23851
Albania,ALB,2017,10.30484
Algeria,DZA,1971,1.66357
Algeria,DZA,2006,7.16524
Algeria,DZA,2008,7.21658
Algeria,DZA,2011,6.24021
Algeria,DZA,2019,7.54066
American Samoa,ASM,1974,9.57684
American Samoa,ASM,1980,9.53472
American Samoa,ASM,1990,10.81646
Andorra,AND,2003,10.08983
Andorra,AND,2004,10.82661
Andorra,AND,2005,10.20879
Andorra,AND,2006,10.45675
Andorra,AND,2014,10.70187
Andorra,AND,2015,10.63362
Andorra,AND,2016,10.62108
Andorra,AND,2022,11.70438
Angola,AGO,2014,4.9513
Angola,AGO,2015,6.82274
Anguilla,AIA,2001,10.20251
Argentina,ARG,1970,6.28247
Argentina,ARG,1980,6.7739
Argentina,ARG,1991,8.30291
Argentina,ARG,2001,8.74292
Argentina,ARG,2003,9.81952
Argentina,ARG,2006,10.08183
Argentina,ARG,2008,10.2977
Argentina,ARG,2009,10.39672
Argentina,ARG,2010,10.49977
Argentina,ARG,2011,10.60985
Argentina,ARG,2012,10.59395
Argentina,ARG,2013,10.75256
Argentina,ARG,2014,10.71324
Argentina,ARG,2015,10.71999
Argentina,ARG,2016,10.76697
Argentina,ARG,2018,10.88024
Argentina,ARG,2020,10.85798
Armenia,ARM,2001,10.59586
Armenia,ARM,2011,11.2005
Armenia,ARM,2015,11.56811
Armenia,ARM,2016,11.70087
Armenia,ARM,2017,11.19267
Armenia,ARM,2020,11.34119
Aruba,ABW,1991,7.30359
Aruba,ABW,2000,8.90098
Aruba,ABW,2010,8.45232
Australia,AUS,1971,9.94169
Australia,AUS,2004,11.67237
Australia,AUS,2005,11.68885
Australia,AUS,2006,11.73492
Australia,AUS,2007,11.79204
Australia,AUS,2008,11.971
Australia,AUS,2009,12.00766
Australia,AUS,2010,12.02889
Australia,AUS,2011,12.07631
Australia,AUS,2012,12.27934
Australia,AUS,2013,11.99537
Australia,AUS,2014,12.20263
Australia,AUS,2015,12.25645
Australia,AUS,2016,12.34566
Australia,AUS,2017,12.28576
Australia,AUS,2018,12.3911
Australia,AUS,2019,12.51845
Australia,AUS,2020,12.55508
Australia,AUS,2021,12.71927
Australia,AUS,2022,12.7811
Austria,AUT,1971,10.31135
Austria,AUT,1981,10.82503
Austria,AUT,1991,10.92482
Austria,AUT,2005,12.01947
Austria,AUT,2007,12.06237
Austria,AUT,2008,12.09947
Austria,AUT,2009,12.14536
Austria,AUT,2010,12.15625
Austria,AUT,2011,12.16122
Austria,AUT,2012,12.19072
Austria,AUT,2013,12.20025
Austria,AUT,2014,12.42884
Austria,AUT,2015,12.46493
Austria,AUT,2016,12.47828
Austria,AUT,2017,12.49718
Austria,AUT,2019,12.55374
Azerbaijan,AZE,1999,10.78935
Azerbaijan,AZE,2007,10.93372
Azerbaijan,AZE,2008,10.94177
Azerbaijan,AZE,2009,10.94535
Azerbaijan,AZE,2010,10.93852
Azerbaijan,AZE,2011,10.93781
Azerbaijan,AZE,2012,10.94617
Azerbaijan,AZE,2013,10.92201
Azerbaijan,AZE,2014,10.92675
